timestamp,sample_id,predicted_attack,true_label,severity,status
2026-02-09 20:05:33,20065,Probe,DoS,1,FALSE_POSITIVE
2026-02-09 20:05:33,3681,DoS,DoS,2,ALERT
2026-02-09 20:05:33,3103,DoS,DoS,2,ALERT
2026-02-09 20:05:33,3714,DoS,DoS,2,ALERT
2026-02-09 20:05:33,20422,DoS,DoS,2,ALERT
2026-02-09 20:05:33,15757,DoS,DoS,2,ALERT
2026-02-09 20:05:33,11941,DoS,DoS,2,ALERT
2026-02-09 20:05:33,11799,DoS,DoS,2,ALERT
2026-02-09 20:05:33,3903,DoS,DoS,2,ALERT
2026-02-09 20:05:33,2247,Probe,DoS,1,FALSE_POSITIVE
2026-02-09 20:05:33,6113,DoS,DoS,2,ALERT
2026-02-09 20:05:33,13276,DoS,DoS,2,ALERT
2026-02-09 20:05:33,22363,DoS,DoS,2,ALERT
2026-02-09 20:05:33,22051,DoS,DoS,2,ALERT
2026-02-09 20:05:33,13715,Probe,Probe,1,ALERT
2026-02-09 20:05:33,16867,DoS,DoS,2,ALERT
2026-02-09 20:05:33,6136,Probe,Probe,1,ALERT
2026-02-09 20:05:33,13537,DoS,DoS,2,ALERT
2026-02-09 20:05:33,16538,DoS,DoS,2,ALERT
2026-02-09 20:05:33,11843,DoS,DoS,2,ALERT
2026-02-09 20:05:33,16589,DoS,DoS,2,ALERT
2026-02-09 20:05:33,12649,DoS,DoS,2,ALERT
2026-02-09 20:05:33,10784,DoS,DoS,2,ALERT
2026-02-09 20:05:33,9550,DoS,DoS,2,ALERT
2026-02-09 20:05:33,5580,DoS,DoS,2,ALERT
2026-02-09 20:05:33,16966,DoS,DoS,2,ALERT
2026-02-09 20:05:33,8321,DoS,DoS,2,ALERT
2026-02-09 20:05:33,9711,DoS,DoS,2,ALERT
2026-02-09 20:05:33,4802,DoS,DoS,2,ALERT
2026-02-09 20:05:33,3362,DoS,DoS,2,ALERT
2026-02-09 20:05:33,20112,DoS,DoS,2,ALERT
2026-02-09 20:05:33,11309,Probe,Probe,1,ALERT
2026-02-09 20:05:33,14398,DoS,DoS,2,ALERT
2026-02-09 20:05:33,3396,Probe,Probe,1,ALERT
